path	age	gender_female	gender_male	if_added
common_voice_pl_23850162.mp3	10	0	1	0
common_voice_pl_26609171.mp3	10	1	0	0
common_voice_pl_23740258.mp3	10	0	1	0
common_voice_pl_23740264.mp3	10	0	1	0
common_voice_pl_20616268.mp3	10	0	1	0
common_voice_pl_20616270.mp3	10	0	1	0
common_voice_pl_20616272.mp3	10	0	1	0
common_voice_pl_20968702.mp3	10	0	1	0
common_voice_pl_20968703.mp3	10	0	1	0
common_voice_pl_20968704.mp3	10	0	1	0
common_voice_pl_20605290.mp3	10	0	1	0
common_voice_pl_20605390.mp3	10	0	1	0
common_voice_pl_20605925.mp3	10	0	1	0
common_voice_pl_26771851.mp3	10	0	1	0
common_voice_pl_26771856.mp3	10	0	1	0
common_voice_pl_26771857.mp3	10	0	1	0
common_voice_pl_20868486.mp3	10	0	1	0
common_voice_pl_20868487.mp3	10	0	1	0
common_voice_pl_20868488.mp3	10	0	1	0
common_voice_pl_20868489.mp3	10	0	1	0
common_voice_pl_20868490.mp3	10	0	1	0
common_voice_pl_25121164.mp3	10	0	1	0
common_voice_pl_25121165.mp3	10	0	1	0
common_voice_pl_25121166.mp3	10	0	1	0
common_voice_pl_25121167.mp3	10	0	1	0
common_voice_pl_25121168.mp3	10	0	1	0
common_voice_pl_36738154.mp3	10	0	1	1
common_voice_pl_36738161.mp3	10	0	1	1
common_voice_pl_36738179.mp3	10	0	1	1
common_voice_pl_36738190.mp3	10	0	1	1
common_voice_pl_36738207.mp3	10	0	1	1
common_voice_pl_33310159.mp3	10	0	1	0
common_voice_pl_33310160.mp3	10	0	1	0
common_voice_pl_33310161.mp3	10	0	1	0
common_voice_pl_33310162.mp3	10	0	1	0
common_voice_pl_33310163.mp3	10	0	1	0
common_voice_pl_22544211.mp3	10	1	0	0
common_voice_pl_22544212.mp3	10	0	1	0
common_voice_pl_22544213.mp3	10	0	1	0
common_voice_pl_22544214.mp3	10	0	1	0
common_voice_pl_22544215.mp3	10	0	1	0
common_voice_pl_24990154.mp3	10	0	1	1
common_voice_pl_24990155.mp3	10	1	0	1
common_voice_pl_24990156.mp3	10	1	0	1
common_voice_pl_24990157.mp3	10	1	0	1
common_voice_pl_24990158.mp3	10	1	0	1
common_voice_pl_24990185.mp3	10	1	0	1
common_voice_pl_20959933.mp3	10	0	1	0
common_voice_pl_20959934.mp3	10	0	1	0
common_voice_pl_20959935.mp3	10	0	1	0
common_voice_pl_20959936.mp3	10	0	1	0
common_voice_pl_20959937.mp3	10	0	1	0
common_voice_pl_22939466.mp3	10	0	1	0
common_voice_pl_23811629.mp3	10	0	1	0
common_voice_pl_23811630.mp3	10	0	1	0
common_voice_pl_23811631.mp3	10	0	1	0
common_voice_pl_23822092.mp3	10	0	1	0
common_voice_pl_23822094.mp3	10	0	1	0
common_voice_pl_23822095.mp3	10	0	1	0
common_voice_pl_23822096.mp3	10	0	1	0
common_voice_pl_20775831.mp3	10	0	1	0
common_voice_pl_20775833.mp3	10	0	1	0
common_voice_pl_20775835.mp3	10	0	1	0
common_voice_pl_20775837.mp3	10	0	1	0
common_voice_pl_20775838.mp3	10	0	1	0
common_voice_pl_20775979.mp3	10	0	1	0
common_voice_pl_20775980.mp3	10	0	1	0
common_voice_pl_20775981.mp3	10	0	1	0
common_voice_pl_20775982.mp3	10	0	1	0
common_voice_pl_21160177.mp3	10	0	1	0
common_voice_pl_21160179.mp3	10	0	1	0
common_voice_pl_21160180.mp3	10	0	1	0
common_voice_pl_21160181.mp3	10	0	1	0
common_voice_pl_21160298.mp3	10	0	1	0
common_voice_pl_21160299.mp3	10	0	1	0
common_voice_pl_21160300.mp3	10	0	1	0
common_voice_pl_21160302.mp3	10	0	1	0
common_voice_pl_21160303.mp3	10	0	1	0
common_voice_pl_25110846.mp3	10	0	1	0
common_voice_pl_25110847.mp3	10	0	1	0
common_voice_pl_25110848.mp3	10	0	1	0
common_voice_pl_25110849.mp3	10	0	1	0
common_voice_pl_25110850.mp3	10	0	1	0
common_voice_pl_29139217.mp3	10	0	1	0
common_voice_pl_29139218.mp3	10	0	1	0
common_voice_pl_29139219.mp3	10	0	1	0
common_voice_pl_29139221.mp3	10	0	1	0
common_voice_pl_29139222.mp3	10	0	1	0
common_voice_pl_32309629.mp3	10	0	1	0
common_voice_pl_32309630.mp3	10	0	1	0
common_voice_pl_32309631.mp3	10	0	1	0
common_voice_pl_32309632.mp3	10	0	1	0
common_voice_pl_32309633.mp3	10	0	1	0
common_voice_pl_25245643.mp3	10	0	1	0
common_voice_pl_25245645.mp3	10	0	1	0
common_voice_pl_25245647.mp3	10	0	1	0
common_voice_pl_25245649.mp3	10	0	1	0
common_voice_pl_25245651.mp3	10	0	1	0
common_voice_pl_25245668.mp3	10	0	1	0
common_voice_pl_25245669.mp3	10	0	1	0
common_voice_pl_25245670.mp3	10	0	1	0
common_voice_pl_25245671.mp3	10	0	1	0
common_voice_pl_25245672.mp3	10	0	1	0
